rssi,meter
-51,5.1286138399136485
rssi,meter
-56,5.7543993733715695
rssi,meter
-53,5.370317963702527
rssi,meter
-56,5.7543993733715695
rssi,meter
-54,5.495408738576246
rssi,meter
-55,5.623413251903491
rssi,meter
-51,5.1286138399136485
rssi,meter
-48,4.786300923226384
rssi,meter
-50,5.011872336272722
rssi,meter
-49,4.897788193684462
rssi,meter
-48,4.786300923226384
rssi,meter
-50,5.011872336272722
rssi,meter
-50,5.011872336272722
rssi,meter
-47,4.677351412871983
rssi,meter
-47,4.677351412871983
rssi,meter
-47,4.677351412871983
rssi,meter
-47,4.677351412871983
rssi,meter
-49,4.897788193684462
rssi,meter
-54,5.495408738576246
rssi,meter
-52,5.248074602497725
rssi,meter
-52,5.248074602497725
rssi,meter
-52,5.248074602497725
rssi,meter
-55,5.623413251903491
rssi,meter
-55,5.623413251903491
rssi,meter
-53,5.370317963702527
rssi,meter
-50,5.011872336272722
rssi,meter
-50,5.011872336272722
rssi,meter
-50,5.011872336272722
rssi,meter
-52,5.248074602497725
rssi,meter
-51,5.1286138399136485
rssi,meter
-52,5.248074602497725
rssi,meter
-52,5.248074602497725
rssi,meter
-50,5.011872336272722
rssi,meter
-50,5.011872336272722
rssi,meter
-52,5.248074602497725
rssi,meter
-51,5.1286138399136485
rssi,meter
-53,5.370317963702527
rssi,meter
-53,5.370317963702527
rssi,meter
-55,5.623413251903491
rssi,meter
-51,5.1286138399136485
rssi,meter
-54,5.495408738576246
rssi,meter
-52,5.248074602497725
rssi,meter
-51,5.1286138399136485
rssi,meter
-48,4.786300923226384
rssi,meter
-48,4.786300923226384
rssi,meter
-49,4.897788193684462
rssi,meter
-49,4.897788193684462
rssi,meter
-49,4.897788193684462
rssi,meter
-49,4.897788193684462
rssi,meter
-48,4.786300923226384
rssi,meter
-48,4.786300923226384
rssi,meter
-48,4.786300923226384
rssi,meter
-47,4.677351412871983
rssi,meter
-54,5.495408738576246
rssi,meter
-55,5.623413251903491
rssi,meter
-55,5.623413251903491
rssi,meter
-54,5.495408738576246
rssi,meter
-53,5.370317963702527
rssi,meter
-53,5.370317963702527
rssi,meter
-52,5.248074602497725
rssi,meter
-49,4.897788193684462
rssi,meter
-51,5.1286138399136485
rssi,meter
-51,5.1286138399136485
